   72                        21 38 56.2   -79 26 32    6.18         star F4IV
   73                        10 41 51.4   -79 46 59    5.97         star B4IV
   74 Tau1Hyi                01 41 21.4   -79 08 53    6.33  W      star G6III
   75                        11 18 34.4   -79 40 06    6.35         star A8III
   76 Kap Men                05 50 16.8   -79 21 40    5.47         star B9V
   77 The Men                06 56 34.5   -79 25 12    5.45         star B9V
   78 Mu  Hyi                02 31 40.6   -79 06 33    5.28         star G8III
   79                        08 45 55.3   -79 30 15    5.79         star K5III
   80                        10 52 27.6   -79 33 33    6.33         star K2II
   81                        03 07 32.1   -78 59 22    5.57  W      star F2II
   82                        23 44 40.8   -78 47 28    5.75         star K1III
   83                        00 16 49.1   -78 46 49    6.77         star F3III
   84 Bet Cha                12 18 20.8   -79 18 43    4.26         star B5V
   85                        22 35 26.4   -78 46 17    6.15         star K1III
   86                        11 42 55.5   -79 18 22    6.39         star K0III
   87 Eps Men                07 25 38.1   -79 05 38    5.53         star K2III
   88                        08 43 12.5   -79 04 10    6.05         star A5V
   89 Iot Men                05 35 36.4   -78 49 15    6.05         star B8III
   90 Alp Aps                14 47 51.7   -79 02 40    3.83         star K3III
   91 Gam Aps                16 33 27.0   -78 53 49    3.89         star G8III
   92 Eta Cha                08 41 19.6   -78 57 47    5.47         star B8V
   93                        01 33 39.3   -78 30 17    6.11  W      star K0III
   94 Sig Hyi                01 55 50.6   -78 20 53    6.16         star F5IV
   95 Del1Aps                16 20 20.8   -78 41 44    4.68  W      star M5III
   96 Del2Aps                16 20 26.8   -78 40 01    5.27  W      star K3III
   97                        03 29 58.9   -78 21 07    5.70         star G8III
   98                        03 36 30.1   -78 19 23    6.29         star K2III
   99                        05 00 13.3   -78 18 00    6.29  W      star K5III
  100 Gam Cha                10 35 28.2   -78 36 27    4.11         star M0III
  101                        14 00 32.9   -78 35 23    6.09         star B9III
  102                        12 13 55.8   -78 34 24    6.35         star K2III
  103                        13 14 17.3   -78 26 49    5.85         star F8I
  104 Eps Cha                11 59 37.4   -78 13 18    4.91  W      star B9V
  105                        18 47 49.4   -77 52 01    6.39         star F8V
  106                        22 01 52.1   -77 39 45    6.41         star A5IV
  107 Psi Oct                22 17 50.5   -77 30 42    5.51         star F3III
  108                        15 39 18.4   -77 55 04    6.18         star K2III
  109                        04 38 21.8   -77 39 21    6.05         star K2III
