ugriz~J020019.4-600500 30.080958333333335 -60.0835 17.788 0.050 15.475 0.008 14.488 0.004 14.049 0.003 13.835 0.003
ugriz~J020044.1-600359 30.18375 -60.06658333333333 17.206 0.073 15.299 0.010 14.557 0.005 14.333 0.003 14.219 0.007
ugriz~J020020.6-595856 30.085958333333334 -59.98227777777778 18.055 0.055 16.063 0.009 15.304 0.004 15.014 0.005 14.839 0.008
ugriz~J015942.6-600346 29.927583333333338 -60.06277777777777 18.171 0.049 16.171 0.010 15.412 0.006 15.154 0.006 15.039 0.006
ugriz~J035945.0-300525 59.93770833333333 -30.09027777777778 13.912 0.004 11.601 0.002 10.843 0.003 10.585 0.004 10.468 0.003
ugriz~J040004.1-300521 60.01733333333333 -30.089388888888887 14.471 0.004 12.820 0.002 12.229 0.002 12.021 0.003 11.951 0.002
ugriz~J035933.6-295705 59.890375 -29.951583333333332 14.992 0.008 13.910 0.003 13.557 0.004 13.451 0.006 13.414 0.007
ugriz~J040002.2-300136 60.00945833333333 -30.02669444444445 15.704 0.007 14.427 0.002 13.986 0.002 13.853 0.002 13.807 0.004
ugriz~J040026.6-295332 60.11116666666666 -29.892277777777778 16.093 0.018 14.757 0.004 14.241 0.002 14.041 0.002 13.957 0.005
ugriz~J035938.7-295821 59.911625 -29.9725 15.758 0.007 14.731 0.003 14.420 0.003 14.324 0.003 14.329 0.002
ugriz~J040021.8-300441 60.091208333333334 -30.078277777777778 16.756 0.022 15.205 0.006 14.678 0.006 14.479 0.005 14.402 0.004
ugriz~J035943.1-300241 59.92979166666667 -30.044777777777774 16.184 0.013 15.137 0.004 14.732 0.004 14.587 0.003 14.549 0.004
ugriz~J035955.8-295228 59.98266666666667 -29.874583333333337 16.061 0.029 15.037 0.009 14.801 0.008 14.727 0.006 14.732 0.019
ugriz~J040004.5-295257 60.01875 -29.882694444444446 17.113 0.017 15.785 0.008 15.252 0.004 15.046 0.004 14.977 0.006
ugriz~J035936.8-600439 59.903625 -60.07769444444445 14.443 0.005 12.303 0.003 11.521 0.003 11.208 0.004 11.062 0.003
ugriz~J035954.2-595731 59.975874999999995 -59.958694444444454 14.838 0.006 12.456 0.003 11.635 0.002 11.359 0.002 11.212 0.002
ugriz~J035941.0-595555 59.921 -59.931999999999995 15.235 0.007 12.882 0.003 12.046 0.003 11.691 0.003 11.524 0.002
ugriz~J040113.2-600418 60.30525 -60.07169444444445 13.811 0.005 12.721 0.002 12.371 0.002 12.241 0.002 12.218 0.003
ugriz~J040023.8-595709 60.09941666666667 -59.9525 15.082 0.004 13.154 0.002 12.451 0.002 12.181 0.002 12.045 0.001
ugriz~J040051.6-600824 60.214999999999996 -60.14008333333334 14.487 0.002 13.046 0.003 12.524 0.003 12.314 0.003 12.240 0.001
ugriz~J035944.7-600836 59.936333333333344 -60.14358333333333 15.231 0.008 13.293 0.007 12.611 0.005 12.368 0.007 12.276 0.005
ugriz~J040101.1-595933 60.25495833333333 -59.99249999999999 13.851 0.007 12.680 0.007 12.708 0.006 12.777 0.004 12.820 0.004
ugriz~J040107.8-600540 60.28258333333333 -60.09458333333333 14.248 0.003 13.127 0.003 12.800 0.002 12.693 0.002 12.683 0.002
ugriz~J035955.0-595523 59.97954166666667 -59.923194444444434 15.196 0.006 13.545 0.005 12.985 0.004 12.769 0.004 12.695 0.004
ugriz~J035938.8-600033 59.912000000000006 -60.009277777777775 14.678 0.004 13.463 0.003 13.031 0.003 12.882 0.002 12.841 0.002
ugriz~J035945.1-600245 59.937916666666666 -60.04608333333333 15.699 0.006 14.380 0.003 13.885 0.003 13.709 0.002 13.645 0.003
ugriz~J040048.1-600538 60.200583333333334 -60.093888888888884 15.384 0.003 14.295 0.003 14.046 0.003 13.996 0.003 14.009 0.005
ugriz~J040043.2-600531 60.18016666666666 -60.09200000000001 18.024 0.061 15.349 0.008 14.159 0.003 13.630 0.002 13.372 0.002
ugriz~J040056.5-600004 60.23541666666667 -60.00119444444445 17.718 0.055 15.495 0.009 14.607 0.004 14.252 0.002 14.073 0.003
ugriz~J035937.7-600100 59.90745833333334 -60.016888888888886 16.212 0.010 15.046 0.005 14.628 0.002 14.464 0.004 14.417 0.006
ugriz~J040031.9-600308 60.133 -60.05227777777778 17.639 0.037 15.553 0.006 14.834 0.004 14.630 0.004 14.528 0.007
ugriz~J040102.1-595613 60.25908333333333 -59.937 16.343 0.014 15.235 0.006 14.850 0.004 14.706 0.005 14.682 0.006
ugriz~J035955.5-600625 59.981291666666664 -60.10719444444444 16.281 0.038 15.246 0.005 14.855 0.004 14.727 0.003 14.695 0.006
ugriz~J040052.0-600646 60.217000000000006 -60.11277777777778 16.887 0.098 15.502 0.006 15.001 0.005 14.848 0.005 14.806 0.004
ugriz~J040010.6-595710 60.04441666666668 -59.9528888888889 17.285 0.029 15.814 0.007 15.274 0.005 15.082 0.004 15.008 0.004
ugriz~J040008.5-600052 60.035708333333346 -60.01458333333334 17.682 0.032 15.989 0.009 15.318 0.006 15.057 0.003 14.927 0.008
ugriz~J055939.0-594936 89.91275 -59.82669444444445 11.366 0.002 10.261 0.002 10.069 0.003 10.031 0.003 10.064 0.003
ugriz~J060037.2-595951 90.155375 -59.99750000000001 13.774 0.004 11.416 0.004 10.601 0.003 10.300 0.003 10.139 0.003
ugriz~J055910.8-595332 89.795375 -59.89227777777778 13.887 0.002 12.065 0.002 11.461 0.003 11.296 0.002 11.235 0.002
ugriz~J055904.8-595721 89.77029166666667 -59.956083333333346 13.921 0.004 12.839 0.003 12.481 0.002 12.361 0.003 12.349 0.003
ugriz~J060009.3-595003 90.03891666666667 -59.834388888888896 14.649 0.003 13.350 0.002 12.939 0.002 12.808 0.002 12.780 0.002
ugriz~J055907.8-595617 89.78266666666667 -59.938277777777785 14.546 0.004 13.408 0.003 13.003 0.002 12.864 0.002 12.834 0.002
ugriz~J055953.3-595221 89.97241666666666 -59.87269444444445 15.405 0.004 13.864 0.002 13.340 0.002 13.181 0.002 13.122 0.002
ugriz~J060024.4-595155 90.10170833333333 -59.86538888888889 16.730 0.015 14.369 0.003 13.456 0.002 13.125 0.002 12.953 0.002
